#--------------------------------------------------------------------------------,
         2,        5.,0, ,     5.035,0, ,     6.935,0, ,   ---*---,0, ,
         3,       10.,0, ,     5.117,0, ,     6.949,0, ,   ---*---,0, ,
         4,       15.,0, ,     5.107,0, ,     6.954,0, ,   ---*---,0, ,
         5,       20.,0, ,     5.159,0, ,     6.962,0, ,   ---*---,0, ,
         6,       25.,0, ,     5.263,0, ,     7.025,0, ,   ---*---,0, ,
         7,       30.,0, ,     5.397,0, ,     7.069,0, ,   ---*---,0, ,
         8,       35.,0, ,     5.433,0, ,     7.085,0, ,   ---*---,0, ,
         9,       40.,0, ,     5.426,0, ,     7.122,0, ,   ---*---,0, ,
        10,       45.,0, ,     5.496,0, ,     7.155,0, ,   ---*---,0, ,
        11,       50.,0, ,     5.495,0, ,     7.157,0, ,   ---*---,0, ,
        12,       55.,0, ,     5.649,0, ,     7.199,0, ,   ---*---,0, ,
        13,       60.,0, ,     5.825,0, ,     7.243,0, ,   ---*---,0, ,
        14,       65.,0, ,     5.865,0, ,     7.257,0, ,   ---*---,0, ,
        15,       70.,0, ,      5.97,0, ,     7.288,0, ,   ---*---,0, ,
        16,       75.,0, ,     6.037,0, ,      7.31,0, ,   ---*---,0, ,
        17,       80.,0, ,     6.134,0, ,     7.532,0, ,   ---*---,0, ,
